WD18CD,WD18NM,WD18NMW,FID
E05000928,Thatto Heath,,1001
E05001027,Rawmarsh,,1002
E05010942,Roby,,1003
E05000963,Hoylake and Meols,,1004
E05000929,Town Centre,,1005
E05001028,Rother Vale,,1006
E05010943,Shevington,,1007
E05000964,Leasowe and Moreton East,,1008
E05000930,West Park,,1009
E05001029,Rotherham East,,1010
E05010944,St Gabriels,,1011
E05000965,Liscard,,1012
E05000931,Windle,,1013
E05001030,Rotherham West,,1014
E05010945,St Michaels,,1015
E05000966,Moreton West and Saughall Massie,,1016
E05000932,Ainsdale,,1017
E05001031,Silverwood,,1018
E05010946,Stockbridge,,1019
E05000967,New Brighton,,1020
E05000933,Birkdale,,1021
E05000934,Blundellsands,,1022
E05001032,Sitwell,,1023
E05001033,Swinton,,1024
E05000935,Cambridge,,1025
E05010947,Swanside,,1026
E05000936,Church,,1027
E05011446,Fawdon & West Gosforth,,1028
E05001034,Valley,,1029
E05000968,Oxton,,1030
E05000937,Derby,,1031
E05010948,Whiston and Cronton,,1032
E05001035,Wales,,1033
E05000969,Pensby and Thingwall,,1034
E05011447,Gosforth,,1035
E05000938,Duke's,,1036
E05010949,Whitefield,,1037
E05001036,Wath,,1038
E05000970,Prenton,,1039
E05011448,Heaton,,1040
E05000939,Ford,,1041
E05000886,Allerton and Hunts Cross,,1042
E05001037,Wickersley,,1043
E05000971,Rock Ferry,,1044
E05011449,Kenton,,1045
E05000940,Harington,,1046
E05000887,Anfield,,1047
E05001038,Wingfield,,1048
E05000972,Seacombe,,1049
E05011450,Kingston Park South & Newbiggin Hall,,1050
E05000941,Kew,,1051
E05000888,Belle Vale,,1052
E05010857,Beauchief and Greenhill,,1053
E05000973,Upton,,1054
E05011451,Lemington,,1055
E05000942,Linacre,,1056
E05000889,Central,,1057
E05010858,Beighton,,1058
E05000974,Wallasey,,1059
E05011452,Manor Park,,1060
E05000943,Litherland,,1061
E05000890,Childwall,,1062
E05010859,Birley,,1063
E05000975,West Kirby and Thurstaston,,1064
E05011453,Monument,,1065
E05000944,Manor,,1066
E05000891,Church,,1067
E05010860,Broomhill and Sharrow Vale,,1068
E05000976,Central,,1069
E05011454,North Jesmond,,1070
E05000945,Meols,,1071
E05000892,Clubmoor,,1072
E05010861,Burngreave,,1073
E05000977,Cudworth,,1074
E05011455,Ouseburn,,1075
E05000946,Molyneux,,1076
E05000893,County,,1077
E05010862,City,,1078
E05000978,Darfield,,1079
E05011456,Parklands,,1080
E05000947,Netherton and Orrell,,1081
E05000894,Cressington,,1082
E05010863,Crookes and Crosspool,,1083
E05000979,Darton East,,1084
E05011457,South Jesmond,,1085
E05000948,Norwood,,1086
E05000895,Croxteth,,1087
E05010864,Darnall,,1088
E05000980,Darton West,,1089
E05011458,Walker,,1090
E05000896,Everton,,1091
E05010865,Dore and Totley,,1092
E05000981,Dearne North,,1093
E05011459,Walkergate,,1094
E05000897,Fazakerley,,1095
E05010866,East Ecclesfield,,1096
E05000982,Dearne South,,1097
E05011460,West Fenham,,1098
E05000898,Greenbank,,1099
E05000983,Dodworth,,1100
E05011461,Wingrove,,1101
E05000984,Hoyland Milton,,1102
E05001115,Battle Hill,,1103
E05000985,Kingstone,,1104
E05001116,Benton,,1105
E05000986,Monk Bretton,,1106
E05001117,Camperdown,,1107
E05000987,North East,,1108
E05001118,Chirton,,1109
E05000988,Old Town,,1110
E05001119,Collingwood,,1111
E05000989,Penistone East,,1112
E05001120,Cullercoats,,1113
E05000990,Penistone West,,1114
